tweet_id;#retweets;#favorite_counts;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
2232;12;56;0.1231;0.23412;0.1432;0.56545;0.8656;0.14354
32432;3;34;0.1222;0.33234;0.243;0.3235;0.2345;0.534124
3321;1;3;0.454;0.93423;0.1134;0.45466;0.52436;0.98345
1212;0;2;0.8993;0.342;0.4565;0.13545;0.234;0.22434
4234;0;0;0.4532;0.1321;0.2543;0.45566;0.43246;0.56545
4534;0;0;0.222;0.11245;0.1143;0.95346;0.4454;0.325235
22;3;1;0.983;0.4534;0.3462;0.33534;0.2344;0.1243
121;1;2;0.343;0.767;0.96546;0.2664;0.3241;0.43524
243;34;4;0.554;0.654;0.345;0.2435;0.743523;0.745243
2344;99;34;0.009;0.5255;0.11234;0.3513;0.85345;0.23425
