tweetID;numberOfRetweet;numberOfFavorites;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
796463368487968768;229.00;0.00;0.00;0.00;0.98;0.02;0.67;0.61
796463368462893056;0.00;0.00;0.00;0.02;0.97;0.02;0.82;0.85
796463368462860288;152407.00;0.00;0.00;0.00;0.99;0.00;0.55;0.62
796463368416743426;1.00;0.00;0.00;0.00;0.69;0.31;0.58;0.86
796463368408354817;16.00;0.00;0.00;0.01;0.78;0.22;0.60;0.51
796463368408354816;2.00;0.00;0.00;0.01;0.78;0.22;0.39;0.43
796463368395771905;7.00;0.00;0.00;0.00;0.68;0.32;0.73;0.74
796463368374624256;15062.00;0.00;0.00;0.02;0.30;0.68;0.47;0.60
796463368362164224;24.00;0.00;0.00;0.01;0.62;0.37;0.67;0.59
796463368332865536;1201.00;0.00;0.00;0.11;0.85;0.04;0.56;0.55
796463368324390912;0.00;0.00;0.01;0.01;0.72;0.28;0.48;0.54
796463368286720000;51184.00;0.00;0.00;0.01;0.96;0.04;0.60;0.73
796463368257368064;0.00;0.00;0.00;0.00;0.99;0.01;0.60;0.73
796463368236335105;7.00;0.00;0.00;0.00;1.00;0.00;0.60;0.73
796463368232124416;189.00;0.00;0.00;0.00;0.99;0.01;0.63;0.71
796463368169287684;2665.00;0.00;0.00;0.04;0.92;0.04;0.59;0.57
796463368123142146;0.00;0.00;0.00;0.01;0.61;0.38;0.67;0.86
796463368097976320;1775.00;0.00;0.00;0.00;0.92;0.08;0.81;0.70
796463368085393409;0.00;0.00;0.00;0.01;0.88;0.11;0.81;0.93
796463368072757248;2807.00;0.00;0.00;0.02;0.90;0.08;0.44;0.40
796463368064368644;0.00;0.00;0.00;0.00;0.96;0.03;0.55;0.54
796463368060039169;0.00;0.00;0.00;0.07;0.50;0.43;0.63;0.80
796463368051838978;54.00;0.00;0.00;0.01;0.38;0.62;0.63;0.22
796463367942610944;32963.00;0.00;0.00;0.01;0.77;0.22;0.65;0.30
796463367938572288;59.00;0.00;0.00;0.00;1.00;0.00;0.75;0.51
796463367921680384;29683.00;0.00;0.00;0.00;0.98;0.02;0.65;0.76
796463367884075009;0.00;0.00;0.00;0.01;0.78;0.22;0.33;0.45
796463367829540864;42.00;0.00;0.00;0.01;0.78;0.22;0.49;0.58
796463367816781825;0.00;0.00;0.00;0.01;0.85;0.14;0.73;0.84
796463367816769536;0.00;0.00;0.00;0.00;0.99;0.01;0.73;0.63
796463367791771650;12.00;0.00;0.00;0.00;0.96;0.03;0.59;0.51
796463367774937088;0.00;0.00;0.00;0.00;0.97;0.03;0.70;0.83
796463367762432000;51.00;0.00;0.00;0.00;0.72;0.28;0.50;0.44
796463367762231296;6.00;0.00;0.00;0.00;0.93;0.07;0.54;0.78
796463367741444096;522.00;0.00;0.00;0.00;1.00;0.00;0.38;0.73
796463367716225024;42.00;0.00;0.00;0.01;0.78;0.22;0.58;0.58
796463367716147200;77.00;0.00;0.00;0.07;0.62;0.31;0.51;0.89
796463367695323136;1349.00;0.00;0.00;0.01;0.78;0.22;0.34;0.12
796463367695302656;95534.00;0.00;0.00;0.00;0.97;0.02;0.67;0.34
796463367661686786;4910.00;0.00;0.01;0.01;0.78;0.22;0.52;0.16
796463367657504768;0.00;0.00;0.00;0.01;0.78;0.22;0.49;0.49
796463367649169408;2.00;0.00;0.00;0.01;0.90;0.10;0.44;0.42
796463367640719360;14.00;0.00;0.00;0.00;0.97;0.03;0.70;0.88
796463367636533248;1.00;0.00;0.00;0.00;1.00;0.00;0.47;0.66
796463367624019968;0.00;0.00;0.00;0.00;1.00;0.00;0.81;0.59
796463367602966528;0.00;0.00;0.03;0.01;0.78;0.22;0.46;0.67
796463367594659840;84.00;0.00;0.00;0.00;0.97;0.03;0.56;0.46
796463367586271240;1085.00;0.00;0.00;0.00;1.00;0.00;0.49;0.52
796463367502331904;294.00;0.00;0.00;0.01;0.86;0.13;0.56;0.54
796463367494004736;197.00;0.00;0.00;0.06;0.88;0.06;0.64;0.41
796463367481344002;4443.00;0.00;0.00;0.01;0.33;0.67;0.27;0.20
796463367430864896;2855.00;0.00;0.00;0.00;1.00;0.00;0.66;0.87
796463367393316865;706.00;0.00;0.00;0.01;0.95;0.05;0.58;0.19
796463367330430976;32331.00;0.00;0.00;0.00;1.00;0.00;0.42;0.61
796463367309303808;342.00;0.00;0.00;0.02;0.80;0.17;0.45;0.69
796463367288397824;520.00;0.00;0.00;0.01;0.75;0.24;0.61;0.57
796463367254921219;41.00;0.00;0.00;0.16;0.62;0.22;0.51;0.59
796463367183421440;0.00;0.00;0.00;0.01;0.31;0.68;0.60;0.55
796463367149887488;30.00;0.00;0.00;0.00;0.93;0.07;0.44;0.46
796463367137488896;316.00;0.00;0.00;0.00;1.00;0.00;0.77;0.81
796463367120502784;7.00;0.00;0.00;0.00;0.93;0.06;0.72;0.64
796463367112298496;1132.00;0.00;0.00;0.01;0.97;0.03;0.68;0.68
796463367078739972;0.00;0.00;0.00;0.01;0.78;0.22;0.51;0.83
