User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
Mozziebites;194871638;727449104796668000;NR;NO;YES;NO;NO;YES;0;0;26573;5152;1190
cuquita1982;1186077222;727448901754716000;NR;YES;YES;NO;NO;NO;0;0;46904;3160;3432
SheeraPoelman;587427780;727448703062147000;NR;NO;NO;NO;NO;NO;0;0;2308;1200;957
Vishaar;587988447;727445653320786000;NR;NO;YES;NO;NO;NO;0;0;2939;128;587
itsleandraa;3362867932;727444506199597000;R;YES;NO;NO;NO;NO;0;0;4098;330;198
chatVsheil;436607416;727439505372881000;R;NO;YES;NO;NO;NO;0;0;1928;113;66
TheHealthZoneNg;3081513976;727437695136485000;R;NO;YES;NO;NO;NO;0;0;1090;126;142
Kenzibit;338935434;727431356804960000;NR;YES;YES;NO;NO;NO;0;0;35259;1461;1142
ChrisSaldana;74753973;727430894852563000;R;NO;NO;NO;NO;NO;0;0;21039;8128;3185
Finnpal;254470222;727430672093200000;NR;NO;YES;NO;NO;NO;0;0;1112;52;82
Naid_28;2652662833;727430209553744000;NR;YES;YES;NO;NO;NO;0;0;11746;195;222
tweet4anonymous;2201385836;727430035200705000;NR;YES;YES;NO;NO;NO;0;0;20681;1156;1012
BenthamScienceP;1091547702;727425977358401000;NR;NO;YES;YES;NO;NO;0;1;2638;455;769
srritchotte;709736512041017000;727425512549667000;R;NO;YES;NO;NO;NO;0;0;147;237;76
kilif1;1259043764;727423804687946000;NR;YES;YES;NO;NO;NO;0;0;23809;1438;1330
Time4TruthNews;1087353870;727422598712271000;NR;NO;YES;YES;NO;NO;0;2;15775;2320;863
Acedotor;59833562;727418537288032000;NR;NO;YES;YES;NO;NO;0;1;77211;12701;13386
MRVfromOU;281283846;727417477257388000;R;NO;NO;NO;NO;NO;0;0;5976;207;186
hellunatic;2936076447;727417201578381000;R;YES;NO;NO;NO;NO;0;0;37976;867;307
